Elevation,Sig1,Total_S4_Sig1,Correction_total_S4_Sig1,y
32.0,46.5,0.08800000000000001,0.047,0
63.0,50.8,0.045,0.028999999999999998,0
21.0,44.6,0.096,0.059000000000000004,0
34.0,47.4,0.079,0.043,0
29.0,43.0,0.11800000000000001,0.071,0
44.0,49.0,0.062,0.036000000000000004,0
60.0,50.4,0.042,0.03,0
66.0,49.6,0.051,0.033,0
32.0,46.4,0.098,0.048,0
31.0,46.3,0.12,0.048,0
63.0,50.5,0.05,0.03,0
21.0,44.1,0.124,0.062,0
34.0,46.7,0.095,0.046,0
29.0,42.7,0.126,0.073,0
44.0,49.0,0.046,0.036000000000000004,0
17.0,43.6,0.136,0.066,0
60.0,50.4,0.055,0.03,0
67.0,49.7,0.046,0.033,0
32.0,46.4,0.071,0.048,0
31.0,45.1,0.09699999999999999,0.055999999999999994,0
62.0,50.8,0.046,0.028999999999999998,0
21.0,43.7,0.139,0.065,0
34.0,47.0,0.106,0.045,0
29.0,43.9,0.10300000000000001,0.064,0
44.0,48.7,0.069,0.037000000000000005,0
17.0,43.7,0.19899999999999998,0.066,0
60.0,50.1,0.05,0.031,0
67.0,49.6,0.044000000000000004,0.033,0
32.0,46.0,0.10099999999999999,0.05,0
30.0,46.0,0.13,0.05,0
